/work/dlclarge2/dragojla-workspace/SSL-for-VIT/dinov2/dinov2-env/bin/python3
Python 3.10.12
dinov2                 0.0.1              /work/dlclarge2/dragojla-workspace/SSL-for-VIT/dinov2
🚀 Starting DINO pretraining on CIFAR-10 train split...
Epoch 154/200 | Loss: 2.0660
Epoch 155/200 | Loss: 2.0620
Epoch 156/200 | Loss: 2.0521
Epoch 157/200 | Loss: 2.0488
Epoch 158/200 | Loss: 2.0482
Epoch 159/200 | Loss: 2.0682
Epoch 160/200 | Loss: 2.0410
Epoch 161/200 | Loss: 2.0441
Epoch 162/200 | Loss: 2.0455
Epoch 163/200 | Loss: 2.0411
Epoch 164/200 | Loss: 2.0383
Epoch 165/200 | Loss: 2.0422
Epoch 166/200 | Loss: 2.0436
Epoch 167/200 | Loss: 2.0347
Epoch 168/200 | Loss: 2.0240
Epoch 169/200 | Loss: 2.0224
Epoch 170/200 | Loss: 2.0231
Epoch 171/200 | Loss: 2.0160
Epoch 172/200 | Loss: 2.0144
Epoch 173/200 | Loss: 2.0279
Epoch 174/200 | Loss: 2.0248
Epoch 175/200 | Loss: 2.0261
Epoch 176/200 | Loss: 2.0192
Epoch 177/200 | Loss: 2.0289
Epoch 178/200 | Loss: 2.0189
Epoch 179/200 | Loss: 2.0255
Epoch 180/200 | Loss: 2.0121
Epoch 181/200 | Loss: 2.0258
Epoch 182/200 | Loss: 2.0167
Epoch 183/200 | Loss: 1.9991
Epoch 184/200 | Loss: 2.0049
Epoch 185/200 | Loss: 1.9992
Epoch 186/200 | Loss: 1.9983
Epoch 187/200 | Loss: 2.0075
Epoch 188/200 | Loss: 1.9960
Epoch 189/200 | Loss: 1.9942
Epoch 190/200 | Loss: 1.9938
Epoch 191/200 | Loss: 1.9959
Epoch 192/200 | Loss: 1.9933
Epoch 193/200 | Loss: 2.0048
Epoch 194/200 | Loss: 1.9824
Epoch 195/200 | Loss: 1.9850
Epoch 196/200 | Loss: 1.9805
Epoch 197/200 | Loss: 1.9772
Epoch 198/200 | Loss: 1.9816
Epoch 199/200 | Loss: 1.9997
Epoch 200/200 | Loss: 1.9912
Model saved to ./dino_vit_cifar10-200.pth
